OBJECTID,Event_ID,EvB_Wpt_Id,SwB_Wpt_ID,Event_Date,CPA,ObType,ObOrder,ObOrder2,Year_,Ship,Observer,ObLocation,Approx,Species,Count_,IS_WW,WW_Speed,LAT,LONG_,Y_PROJ,X_PROJ,NDateS,NDateD,WptID,DateD,TimeD,DateTim,DateTxt,TimeTxt,TrkID,Vessel_Azi,X_GPS_UTM,Y_GPS_UTM,Vessel_Kts,X_BB_UTM,Y_BB_UTM,X_MM_UTM,Y_MM_UTM,BB_MM_Azi,BB_MM_Dist,BB_MM_Bear,Subarea1,Subarea2,Subarea3,VslDepth_m,VslDstSh_m,MMDepth_m,MMDstSh_m,RadComment,RadContact,RadioBy,RadioResp,RadioTime,R_Contact,Month_,season,Direction,Orientation,Behavior,Clouds,Rain,Wind,SeaState,Visibility,Shape
1,2013-09-26-N,2013-09-26-N-004,2013-09-26-N-004,9/26/2013,N,MultiOb,2,1,2013,Statendam,Nat,Starboard,y,humpback whale,2,n,0,,-136.5210273,58.83536945,-136.5210273,9/26/2013,9/26/2013,4,9/26/2013,9:06:37,9/26/2013,20130926,09:06:37,7083,308.880431,412201.4818,6522717.843,17.82715654,412188.9388,6522725.388,409087.6722,6525228.616,308.9091833,3985.473857,0.028752306,West Arm,West Arm,West Arm,-429,1889.959313,-423,2084.796791,,,,,,y,9,0,GT-Ag/To,45-45-degrees,BL-Blowing,100,none,moderate,1',good,
2,2013-09-26-N,2013-09-26-N-005,2013-09-26-N-004,9/26/2013,Y,MultiOb,1,2,2013,Statendam,Nat,Starboard,y,humpback whale,2,n,0,,-136.551986,58.84762103,-136.551986,9/26/2013,9/26/2013,5,9/26/2013,9:10:42,9/26/2013,20130926,09:10:42,7132,304.4833953,410446.2704,6524122.81,17.72815627,410433.1859,6524129.37,408797.7337,6525255.114,304.541111,1985.447717,0.057715737,West Arm,West Arm,West Arm,-420,1826.097669,-421,2034.494196,,,,,,n,9,0,A-Away,90-Perpendicular,DF-Dive-fluke-up,100,none,moderate,1',good,
3,2013-09-26-N,2013-09-26-N-015,2013-09-26-N-015,9/26/2013,N,MultiOb,4,1,2013,Statendam,Nat,Starboard,y,humpback whale,1,n,0,,-136.3793361,58.78143635,-136.3793361,9/26/2013,9/26/2013,15,9/26/2013,14:14:39,9/26/2013,20130926,14:14:39,10779,125.3783221,420255.8927,6516536.19,16.28836452,420268.8732,6516529.425,422130.6704,6515839.774,110.3257706,1985.423982,-15.05255151,Middle Bay,West Arm,West Arm,-340,2242.265131,-414,1401.722306,,,,,,n,9,0,U-Unsure,U-Unsure,BL-Blowing,95,moderate,strong,1',good,
4,2013-09-26-N,2013-09-26-N-016,2013-09-26-N-015,9/26/2013,N,MultiOb,3,2,2013,Statendam,Nat,Starboard,y,humpback whale,1,n,0,,-136.3708091,58.77846873,-136.3708091,9/26/2013,9/26/2013,16,9/26/2013,14:15:50,9/26/2013,20130926,14:15:50,10793,124.7625161,420742.0673,6516195.681,16.31086722,420755.1197,6516189.056,421683.0692,6515857.594,109.6566301,985.3715344,-15.10588603,Middle Bay,West Arm,West Arm,-320,2242.164458,-290,1764.90562,,,,,,n,9,0,T-Toward,90-Perpendicular,BL-Blowing,95,moderate,strong,1',good,
5,2013-09-26-N,2013-09-26-N-017,2013-09-26-N-015,9/26/2013,N,MultiOb,2,3,2013,Statendam,Nat,Starboard,n,humpback whale,1,n,0,,-136.3656321,58.77668079,-136.3656321,9/26/2013,9/26/2013,17,9/26/2013,14:16:33,9/26/2013,20130926,14:16:33,10802,124.9831181,421037.3037,6515990.512,16.28262708,421050.3305,6515983.837,421632.0346,6515774.246,109.8143726,618.3107238,-15.16874553,Middle Bay,West Arm,West Arm,-255,2234.816526,-290,1852.882647,,,,,,n,9,0,T-Toward,90-Perpendicular,BL-Blowing,95,moderate,strong,1',good,
6,2008-07-02-K,2008-07-02-K-135,2008-07-02-K-130,7/2/2008,Y,MultiOb,1,4,2008,Statendam,Karin,Starboard,n,humpback whale,2,n,0,57.09599211,-134.6909357,57.09599211,-134.6909357,7/2/2008,7/2/2008,456,7/2/2008,21:25:15,7/2/2008,20080702,21:25:15,42848,171.7121849,518726.5971,6328113.802,18.85916993,518730.5222,6328100.731,518794.1633,6327818.792,347.2799913,289.0323665,-4.432193656,Chatham,Outside,Outside,-642,3838.204357,-644,3875.312585,,,,,,,7,1,W-With,0-Parallel,DF-Dive-fluke-up,80,none,moderate,1',good,
7,2008-07-02-K,2008-07-02-K-134,2008-07-02-K-130,7/2/2008,N,MultiOb,2,3,2008,Statendam,Karin,Starboard,n,humpback whale,2,n,0,57.10335016,-134.6926357,57.10335016,-134.6926357,7/2/2008,7/2/2008,455,7/2/2008,21:23:48,7/2/2008,20080702,21:23:48,42831,173.1777018,518619.9025,6328932.409,17.17591217,518623.492,6328919.242,518225.7195,6328429.689,39.09459095,630.7816369,45.91688914,Chatham,Outside,Outside,-633,3779.207609,-638,4243.560822,,,,,,,7,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,80,none,moderate,1',good,
8,2008-07-02-K,2008-07-02-K-133,2008-07-02-K-130,7/2/2008,N,MultiOb,3,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.11119579,-134.69425,57.11119579,-134.69425,7/2/2008,7/2/2008,454,7/2/2008,21:22:17,7/2/2008,20080702,21:22:17,42813,173.9473676,518518.1976,6329805.318,18.60678882,518521.6099,6329792.105,517367.5044,6328843.19,50.57267789,1494.121575,56.62531027,Chatham,Outside,Outside,-619,3900.179344,-621,3648.114286,,,,,,,7,1,T-Toward,9-Perpendicular,BL-Blowing,80,none,moderate,1',good,
9,2008-07-16-K,2008-07-16-K-122,2008-07-16-K-119,7/16/2008,Y,MultiOb,1,3,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.11638092,-134.6908905,57.11638092,-134.6908905,7/16/2008,7/16/2008,800,7/16/2008,21:38:10,7/16/2008,20080716,21:38:10,67604,175.363311,518719.0531,6330383.427,18.95337147,518722.1379,6330370.133,519256.3736,6329448.998,329.8873125,1064.8461,-25.47599851,Chatham,Outside,Outside,-605,3826.162155,-618,3131.118847,,,,,,,7,1,G-Against,0-Parallel,DF-Dive-fluke-up,100,none,light,calm,excellent,
10,2008-07-02-K,2008-07-02-K-132,2008-07-02-K-131,7/2/2008,Y,MultiOb,1,2,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.11677948,-134.6952853,57.11677948,-134.6952853,7/2/2008,7/2/2008,453,7/2/2008,21:21:13,7/2/2008,20080702,21:21:13,42800,173.2937878,518452.7157,6330426.596,18.72896591,518456.2785,6330413.422,518509.1597,6329598.646,356.2865585,816.4900135,2.992770722,Chatham,Outside,Outside,-613,4093.797016,-619,3886.820788,,,,,,,7,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,80,none,moderate,1',good,
