cruise_event_ID,unique_event_ID,same_whale_ID,event_date,CPA,ob_type,ob_order_CPA,ob_order_time,year,ship,observer,observer_location,approx,species,count,IS_WW,WW_Speed,LAT,LONG,Y_PROJ,X_PROJ,NDateS,NDateD,waypoint_ID,DateD,TimeD,DateTime,DateTxt,TimeTxt,track_ID,vessel_azimuth,X_GPS_UTM,Y_GPS_UTM,ship_speed,X_ship_UTM,Y_ship_UTM,X_whale_UTM,Y_whale_UTM,ship_whale_azimuth,ship_whale_dist,ship_whale_bearing,subarea_1,subarea_2,subarea_3,ship_depth_m,ship_dist_shore_m,whale_depth_m,whale_dist_shore_m,radio_comm,radio_contact,radio_by,radio_resp,radio_time,radio_y_n,month,season,whale_direction,whale_orientation,whale_behavior,clouds,rain,wind,waves,visibility,shape_fn,val_beh,num_beh,num_obs,duplicate
2008-05-06-N,2008-05-06-N-005,2008-05-06-N-005,5/6/2008,N,MultiOb,2,1,2008,Veendam,Nat,Port,y,humpback whale,1,n,0,58.77701162,-136.3841526,58.77701162,-136.3841526,5/6/2008,5/6/2008,5,5/6/2008,1/0/1900,5/6/2008,20080506,8:43:08,1089,308.2830132,419967.2809,6516049.321,16.80260678,419958.7781,6516059.854,419124.7731,6517131.57,142.1100944,1357.990972,13.82708124,Middle Bay,West Arm,West Arm,-395,2663.083017,-428,2459.471221,,,,,,,5,0,A-Away,9-Perpendicular,BL-Blowing,80,none,light,calm,excellent,NA,1,2,2,0
2008-05-06-N,2008-05-06-N-006,2008-05-06-N-005,5/6/2008,Y,MultiOb,1,2,2008,Veendam,Nat,Port,y,humpback whale,1,n,0,58.78178621,-136.3962777,58.78178621,-136.3962777,5/6/2008,5/6/2008,6,5/6/2008,1/0/1900,5/6/2008,20080506,8:44:50,1110,308.5516909,419277.3434,6516595.432,16.82681997,419268.8901,6516606.004,418868.1061,6517613.441,158.3060868,1084.231147,29.75439585,Middle Bay,West Arm,West Arm,-429,2707.977801,-430,2352.305564,,,,,,,5,0,A-Away,9-Perpendicular,DF-Dive-fluke-up,80,none,light,calm,excellent,NA,2,2,2,0
2008-05-08-N,2008-05-08-N-006,2008-05-08-N-006,5/8/2008,Y,Single,1,1,2008,Norwegian Pearl,Nat,Starboard,y,humpback whale,1,y,20,58.5160124,-136.0652662,58.5160124,-136.0652662,5/8/2008,5/8/2008,72,5/8/2008,1/0/1900,5/8/2008,20080508,6:38:54,13041,353.6897077,437942.9703,6486653.747,16.07088876,437938.7135,6486664.947,437821.7031,6490309.302,178.1610184,3646.232984,4.471310732,Lower Bay,Lower Bay,Lower Bay,-96,1995.18846,-84,2040.390516,,,,,,,5,0,T-Toward,9-Perpendicular,DF-Dive-fluke-up,70,none,light,calm,excellent,NA,2,1,1,0
2008-05-08-N,2008-05-08-N-008,2008-05-08-N-008,5/8/2008,Y,Single,1,1,2008,Norwegian Pearl,Nat,Starboard,y,humpback whale,1,n,0,58.66746342,-136.1576273,58.66746342,-136.1576273,5/8/2008,5/8/2008,74,5/8/2008,1/0/1900,5/8/2008,20080508,7:14:04,13463,319.8109847,432853.6013,6503604.272,18.12490146,432843.8239,6503611.198,432495.0187,6503674.623,100.3058705,354.5248521,-39.50511414,Middle Bay,Middle Bay,Middle Bay,-319,3305.525393,-322,2971.563665,,,,,,,5,0,G-Against,0-Parallel,DF-Dive-fluke-up,100,none,light,1',excellent,NA,2,1,1,0
2008-05-08-N,2008-05-08-N-028,2008-05-08-N-028,5/8/2008,Y,Single,1,1,2008,Norwegian Pearl,Nat,Starboard,y,humpback whale,1,n,0,58.76741812,-136.3497275,58.76741812,-136.3497275,5/8/2008,5/8/2008,94,5/8/2008,1/0/1900,5/8/2008,20080508,13:08:31,17717,128.809816,421936.0768,6514940.64,15.0545887,421946.9961,6514935.708,423059.4396,6513497.617,322.2760435,1818.140645,13.46622743,Middle Bay,West Arm,West Arm,-414,2028.760531,-400,2758.842724,,,,,,,5,0,W-With,4-45-degrees,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,1,1,0
2008-05-08-N,2008-05-08-N-029,2008-05-08-N-029,5/8/2008,Y,Single,1,1,2008,Norwegian Pearl,Nat,Starboard,y,humpback whale,1,n,0,58.62617819,-136.0938013,58.62617819,-136.0938013,5/8/2008,5/8/2008,95,5/8/2008,1/0/1900,5/8/2008,20080508,13:53:50,18261,149.227031,436480.5697,6498945.641,18.09060802,436489.0823,6498937.209,437304.0514,6497848.867,323.173524,1359.656176,-6.05350705,Middle Bay,Middle Bay,Middle Bay,-256,2255.082339,-241,2079.249346,,,,,,,5,0,G-Against,0-Parallel,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,1,1,0
2008-05-08-N,2008-05-08-N-032,2008-05-08-N-032,5/8/2008,Y,Single,1,1,2008,Norwegian Pearl,Nat,Starboard,y,humpback whale,1,n,0,58.54014013,-136.0590572,58.54014013,-136.0590572,5/8/2008,5/8/2008,98,5/8/2008,1/0/1900,5/8/2008,20080508,14:12:23,18483,176.6451116,438347.0085,6489334.258,15.85772028,438350.6822,6489322.854,438976.9773,6489222.044,279.144035,634.3565128,-77.50107659,Lower Bay,Middle Bay,Middle Bay,-95,3015.267794,-89,2394.236103,,,,,,,5,0,G-Against,0-Parallel,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,1,1,0
2008-05-11-N,2008-05-11-N-002,2008-05-11-N-002,5/11/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,y,20,58.44752396,-136.0138326,58.44752396,-136.0138326,5/11/2008,5/11/2008,102,5/11/2008,1/0/1900,5/11/2008,20080511,7:00:24,18586,301.6270244,440824.0569,6478982.316,15.26069018,440810.1373,6478987.365,440976.1693,6479043.464,251.330696,175.2535522,129.7036715,Lower Bay,Lower Bay,Lower Bay,-53,2302.866703,-51,2155.474378,,,,,,,5,0,W-With,0-Parallel,DF-Dive-fluke-up,50,none,light,calm,excellent,NA,2,1,1,0
2008-05-11-N,2008-05-11-N-011,2008-05-11-N-011,5/11/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.54988904,-136.0574872,58.54988904,-136.0574872,5/11/2008,5/11/2008,111,5/11/2008,1/0/1900,5/11/2008,20080511,7:25:32,18887,12.97596044,438455.4932,6490418.204,17.08704409,438455.8257,6490433.007,438078.399,6492207.644,167.9933291,1814.328201,-24.98263133,Lower Bay,Middle Bay,Middle Bay,-50,2476.822033,-101,1413.029219,,,,,,,5,0,W-With,0-Parallel,BL-Blowing,50,none,light,calm,excellent,NA,1,1,1,0
2008-05-11-N,2008-05-11-N-018,2008-05-11-N-018,5/11/2008,N,MultiOb,4,1,2008,Ryndam,Nat,Starboard,y,humpback whale,2,n,0,58.64472474,-136.128862,58.64472474,-136.128862,5/11/2008,5/11/2008,118,5/11/2008,1/0/1900,5/11/2008,20080511,7:48:02,19157,325.1059834,434479.3817,6501044.229,17.17357139,434468.6262,6501054.406,438519.9376,6503183.594,242.2756005,4576.741462,97.16961713,Middle Bay,Middle Bay,Middle Bay,-308,3440.607757,-51,445.8261926,,,,,,,5,0,T-Toward,9-Perpendicular,BL-Blowing,90,none,light,calm,excellent,NA,1,2,4,0
2008-05-11-N,2008-05-11-N-019,2008-05-11-N-018,5/11/2008,N,MultiOb,2,2,2008,Ryndam,Nat,Starboard,y,humpback whale,2,n,0,58.65624575,-136.1447143,58.65624575,-136.1447143,5/11/2008,5/11/2008,119,5/11/2008,1/0/1900,5/11/2008,20080511,7:50:58,19193,325.7347509,433581.2342,6502342.503,17.56705485,433570.591,6502352.798,433853.2566,6502586.575,230.4076867,366.812946,84.67293584,Middle Bay,Middle Bay,Middle Bay,-317,3627.705083,-255,3991.354175,,,,,,,5,0,A-Away,9-Perpendicular,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,2,4,0
2008-05-11-N,2008-05-11-N-020,2008-05-11-N-018,5/11/2008,N,MultiOb,3,3,2008,Ryndam,Nat,Starboard,n,humpback whale,2,n,0,58.66434585,-136.1556472,58.66434585,-136.1556472,5/11/2008,5/11/2008,120,5/11/2008,1/0/1900,5/11/2008,20080511,7:53:01,19217,326.3634745,432962.464,6503255.199,17.41093568,432951.9344,6503265.609,433341.0217,6504101.475,204.9615114,921.9873805,58.59803688,Middle Bay,Middle Bay,Middle Bay,-317,3381.771544,-308,3839.740689,,,,,,,5,0,T-Toward,9-Perpendicular,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,2,4,0
2008-05-11-N,2008-05-11-N-023,2008-05-11-N-018,5/11/2008,Y,MultiOb,1,4,2008,Ryndam,Nat,Starboard,n,humpback whale,2,n,0,58.67249591,-136.163985,58.67249591,-136.163985,5/11/2008,5/11/2008,123,5/11/2008,1/0/1900,5/11/2008,20080511,7:54:57,19240,338.9086181,432494.5771,6504170.943,17.20343585,432486.5602,6504183.392,432432.5572,6504352.088,162.2491199,177.1291004,3.340501826,Middle Bay,Middle Bay,Middle Bay,-320,3002.708686,-318,2981.005578,,,,,,,5,0,W-With,0-Parallel,BL-Blowing,90,none,light,calm,excellent,NA,1,2,4,0
2008-05-11-N,2008-05-11-N-040,2008-05-11-N-040,5/11/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,n,humpback whale,1,n,0,58.54926878,-136.0631373,58.54926878,-136.0631373,5/11/2008,5/11/2008,140,5/11/2008,1/0/1900,5/11/2008,20080511,16:02:58,25097,180.4541443,438125.5891,6490354.339,17.91447473,438128.4741,6490339.816,438706.3098,6490576.095,247.76018,624.27711,-112.6939643,Lower Bay,Middle Bay,Middle Bay,-50,2256.419215,-97,2630.055682,,,,,,,5,0,G-Against,0-Parallel,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,1,1,0
2008-05-11-N,2008-05-11-N-041,2008-05-11-N-041,5/11/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,2,n,0,58.53273388,-136.0632976,58.53273388,-136.0632976,5/11/2008,5/11/2008,141,5/11/2008,1/0/1900,5/11/2008,20080511,16:06:20,25137,181.6045929,438087.1126,6488513.593,17.75120647,438089.7054,6488499.014,440023.5938,6487298.84,301.8238003,2276.036508,-59.78079254,Lower Bay,Middle Bay,Middle Bay,-98,2872.002761,-70,613.3844811,,,,,,,5,0,WT-With/To,4-45-degrees,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,1,1,0
2008-05-11-N,2008-05-11-N-100,2008-05-11-N-100,5/11/2008,N,MultiOb,3,1,2008,Ryndam,Nat,Starboard,y,humpback whale,2,n,0,58.64472474,-136.128862,58.64472474,-136.128862,5/11/2008,5/11/2008,118,5/11/2008,1/0/1900,5/11/2008,20080511,7:48:02,19157,325.1059834,434479.3817,6501044.229,17.17357139,434468.6262,6501054.406,438519.9376,6503183.594,242.2756005,4576.741462,97.16961713,Middle Bay,Middle Bay,Middle Bay,-308,3440.607757,-51,445.8261926,,,,,,,5,0,T-Toward,9-Perpendicular,BL-Blowing,90,none,light,calm,excellent,NA,1,2,3,0
2008-05-11-N,2008-05-11-N-021,2008-05-11-N-100,5/11/2008,N,MultiOb,2,2,2008,Ryndam,Nat,Starboard,n,humpback whale,2,n,0,58.66759879,-136.1597026,58.66759879,-136.1597026,5/11/2008,5/11/2008,121,5/11/2008,1/0/1900,5/11/2008,20080511,7:53:49,19227,331.4583997,432733.492,6503621.423,17.37140573,432723.9285,6503632.727,433141.8862,6504142.267,219.3608193,659.0292947,67.90241959,Middle Bay,Middle Bay,Middle Bay,-319,3190.204853,-315,3646.276755,,,,,,,5,0,T-Toward,9-Perpendicular,BL-Blowing,90,none,light,calm,excellent,NA,1,2,3,0
2008-05-11-N,2008-05-11-N-022,2008-05-11-N-100,5/11/2008,Y,MultiOb,1,3,2008,Ryndam,Nat,Starboard,y,humpback whale,2,n,0,58.67008117,-136.1620827,58.67008117,-136.1620827,5/11/2008,5/11/2008,122,5/11/2008,1/0/1900,5/11/2008,20080511,7:54:24,19234,337.0634837,432600.2341,6503900.186,17.43742831,432591.8205,6503912.371,432720.5156,6504196.404,204.3752304,311.8287958,47.31174665,Middle Bay,Middle Bay,Middle Bay,-319,3077.265446,-319,3235.893838,,,,,,,5,0,W-With,0-Parallel,DF-Dive-fluke-up,90,none,light,calm,excellent,NA,2,2,3,0
2008-05-13-N,2008-05-13-N-004,2008-05-13-N-004,5/13/2008,N,MultiOb,2,1,2008,Veendam,Nat,Port,n,humpback whale,1,y,20,58.46053384,-136.0390886,58.46053384,-136.0390886,5/13/2008,5/13/2008,146,5/13/2008,1/0/1900,5/13/2008,20080513,7:06:56,25292,327.6402417,439372.3609,6480453.249,17.3343273,439367.2947,6480466.849,439625.5784,6481046.909,204.0020214,634.9643161,56.36177979,Lower Bay,Lower Bay,Lower Bay,-68,1998.6689,-73,2182.269095,,,,,,,5,0,A-Away,9-Perpendicular,BL-Blowing,100,none,light,calm,excellent,NA,1,1,2,0
2008-05-13-N,2008-05-13-N-005,2008-05-13-N-004,5/13/2008,Y,MultiOb,1,2,2008,Veendam,Nat,Port,y,humpback whale,1,y,20,58.46707718,-136.045205,58.46707718,-136.045205,5/13/2008,5/13/2008,147,5/13/2008,1/0/1900,5/13/2008,20080513,7:08:26,25310,339.600414,439026.8357,6481187.27,17.77143511,439024.6979,6481201.625,439349.8347,6481358.289,244.2733546,360.9120647,84.6729406,Lower Bay,Lower Bay,Lower Bay,-76,1577.328155,-77,1909.165779,,,,,,,5,0,G-Against,0-Parallel,BL-Blowing,100,none,light,calm,excellent,NA,1,1,2,0
2008-05-13-N,2008-05-13-N-036,2008-05-13-N-036,5/13/2008,Y,Single,1,1,2008,Veendam,Nat,Port,y,humpback whale,1,n,0,58.53705601,-136.0641891,58.53705601,-136.0641891,5/13/2008,5/13/2008,178,5/13/2008,1/0/1900,5/13/2008,20080513,15:46:45,31530,177.3691276,438042.8301,6488995.614,16.60784944,438040.4851,6488981.291,437615.9208,6488832.593,70.69786222,449.8510227,73.32873466,Lower Bay,Middle Bay,Middle Bay,-98,3204.888971,-94,3030.421721,,,,,,,5,0,A-Away,9-Perpendicular,DF-Dive-fluke-up,90,none,moderate,1',excellent,NA,2,1,1,0
2008-05-25-N,2008-05-25-N-005,2008-05-25-N-005,5/25/2008,N,MultiOb,2,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,y,20,58.45547117,-136.0275311,58.45547117,-136.0275311,5/25/2008,5/25/2008,383,5/25/2008,1/0/1900,5/25/2008,20080525,6:26:19,70265,336.2495152,440038.0599,6479879.24,15.8527109,440030.7921,6479890.791,441310.608,6480390.801,248.6599627,1374.022804,92.41044755,Lower Bay,Lower Bay,Lower Bay,-58,2279.283242,-34,1003.862444,,,,,,,5,0,U-Unsure,U-Unsure,RE-Resting,5,none,light,calm,excellent,NA,5,2,2,0
2008-05-25-N,2008-05-25-N-006,2008-05-25-N-005,5/25/2008,Y,MultiOb,1,2,2008,Ryndam,Nat,Starboard,y,humpback whale,1,y,20,58.4591608,-136.0310057,58.4591608,-136.0310057,5/25/2008,5/25/2008,384,5/25/2008,1/0/1900,5/25/2008,20080525,6:27:15,70276,331.6751412,439841.6068,6480293.122,15.88313725,439833.4409,6480304.057,440632.9569,6480518.544,254.9827766,827.7865377,103.3076353,Lower Bay,Lower Bay,Lower Bay,-67,2220.030104,-32,1421.321255,,,,,,,5,0,W-With,0-Parallel,DF-Dive-fluke-up,5,none,light,calm,excellent,NA,2,2,2,0
2008-05-25-N,2008-05-25-N-016,2008-05-25-N-016,5/25/2008,N,MultiOb,2,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.61596509,-136.0849689,58.61596509,-136.0849689,5/25/2008,5/25/2008,394,5/25/2008,1/0/1900,5/25/2008,20080525,7:01:50,70691,324.0005004,436975.0751,6497800.24,17.80625186,436965.5221,6497809.987,438520.6883,6497234.626,290.3028158,1658.186238,146.3023154,Middle Bay,Middle Bay,Middle Bay,-241,1761.007218,-209,3001.655868,,,,,,,5,0,A-Away,9-Perpendicular,SA-Surface-active,5,none,light,calm,excellent,NA,6,2,2,0
2008-05-25-N,2008-05-25-N-017,2008-05-25-N-016,5/25/2008,Y,MultiOb,1,2,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.62072567,-136.0924597,58.62072567,-136.0924597,5/25/2008,5/25/2008,395,5/25/2008,1/0/1900,5/25/2008,20080525,7:03:05,70706,320.8961499,436548.5923,6498337.317,17.81434543,436538.5255,6498346.532,437018.1146,6497552.803,328.8586789,927.3681197,-172.037471,Middle Bay,Middle Bay,Middle Bay,-254,1785.664666,-241,1699.073042,,,,,,,5,0,G-Against,0-Parallel,DF-Dive-fluke-up,5,none,light,calm,excellent,NA,2,2,2,0
2008-05-25-N,2008-05-25-N-024,2008-05-25-N-024,5/25/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.82868228,-136.4828291,58.82868228,-136.4828291,5/25/2008,5/25/2008,402,5/25/2008,1/0/1900,5/25/2008,20080525,8:02:25,71418,313.0760526,414389.6804,6521923.895,16.66706686,414378.4534,6521931.654,414822.4502,6522260.797,233.449785,552.6917489,100.3737324,West Arm,West Arm,West Arm,-386,612.9343351,-132,64.43593539,,,,,,,5,0,G-Against,0-Parallel,BL-Blowing,5,none,light,calm,excellent,NA,1,1,1,0
2008-05-25-N,2008-05-25-N-043,2008-05-25-N-043,5/25/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.90045107,-136.880159,58.90045107,-136.880159,5/25/2008,5/25/2008,421,5/25/2008,1/0/1900,5/25/2008,20080525,13:28:24,75330,102.1539491,391677.9598,6530489.327,15.1575027,391691.5783,6530488.44,391724.5857,6530566.62,202.8894207,84.86194866,-79.26452839,West Arm,West Arm,West Arm,-341,1344.032238,-368,1415.646139,,,,,,,5,0,G-Against,0-Parallel,BL-Blowing,5,none,light,1',excellent,NA,1,1,1,0
2008-05-25-N,2008-05-25-N-053,2008-05-25-N-053,5/25/2008,Y,Single,1,1,2008,Ryndam,Nat,Starboard,y,humpback whale,1,n,0,58.54138467,-136.0631586,58.54138467,-136.0631586,5/25/2008,5/25/2008,431,5/25/2008,1/0/1900,5/25/2008,20080525,15:27:28,76759,184.362468,438110.4544,6489476.59,16.83331037,438111.4217,6489462.977,439352.1259,6487557.258,326.9341584,2274.007719,-37.42830966,Lower Bay,Middle Bay,Middle Bay,-95,2859.856183,-81,1297.543189,,,,,,,5,0,W-With,0-Parallel,SA-Surface-active,5,none,light,1',excellent,NA,6,1,1,0
2008-05-26-N,2008-05-26-N-026,2008-05-26-N-026,5/26/2008,Y,Single,1,1,2008,Sapphire Princess,Nat,Port,n,humpback whale,1,n,0,58.82340026,-136.4825425,58.82340026,-136.4825425,5/26/2008,5/26/2008,461,5/26/2008,1/0/1900,5/26/2008,20080526,17:57:16,82252,124.588375,414393.2025,6521335.48,18.97596474,414419.0612,6521316.434,414582.7891,6521181.407,309.5125638,212.2243234,4.92418879,West Arm,West Arm,West Arm,-430,960.285876,-427,928.0138612,,,,,,,5,0,WA-With/Aw,4-45-degrees,DF-Dive-fluke-up,5,none,moderate,1',excellent,NA,2,1,1,0
2008-05-26-N,2008-05-26-N-034,2008-05-26-N-034,5/26/2008,N,MultiOb,3,1,2008,Sapphire Princess,Nat,Port,y,humpback whale,1,n,0,58.56526279,-136.0630671,58.56526279,-136.0630671,5/26/2008,5/26/2008,469,5/26/2008,1/0/1900,5/26/2008,20080526,19:10:30,83131,176.3311428,438157.8675,6492134.954,14.61334426,438158.9236,6492102.856,438629.4917,6489432.669,350.0053665,2711.333987,-6.325776269,Lower Bay,Middle Bay,Middle Bay,-107,1522.391876,-93,2796.429019,,,,,,,5,0,A-Away,9-Perpendicular,SA-Surface-active,5,none,moderate,1',excellent,NA,6,2,3,0
2008-05-26-N,2008-05-26-N-035,2008-05-26-N-034,5/26/2008,Y,MultiOb,1,2,2008,Sapphire Princess,Nat,Port,y,humpback whale,1,n,0,58.56052408,-136.062422,58.56052408,-136.062422,5/26/2008,5/26/2008,470,5/26/2008,1/0/1900,5/26/2008,20080526,19:11:44,83145,176.7935693,438187.0442,6491606.779,13.81935787,438187.8412,6491574.673,438120.0339,6489779.309,2.162918861,1796.644328,5.36934957,Lower Bay,Middle Bay,Middle Bay,-102,1787.604928,-93,2626.10377,,,,,,,5,0,WA-With/Aw,4-45-degrees,DF-Dive-fluke-up,5,none,moderate,1',excellent,NA,2,2,3,0
