"","cruise_event_ID","unique_event_ID","same_whale_ID","event_date","CPA","ob_type","ob_order_CPA","ob_order_time","year","ship","observer","observer_location","approx","species","count","IS_WW","WW_Speed","LAT","LONG","Y_PROJ","X_PROJ","NDateS","NDateD","waypoint_ID","DateD","TimeD","DateTime","DateTxt","TimeTxt","track_ID","vessel_azimuth","X_GPS_UTM","Y_GPS_UTM","ship_speed","X_ship_UTM","Y_ship_UTM","X_whale_UTM","Y_whale_UTM","ship_whale_azimuth","ship_whale_dist","ship_whale_bearing","subarea_1","subarea_2","subarea_3","ship_depth_m","ship_dist_shore_m","whale_depth_m","whale_dist_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","sea_state","visibility","shape","radio_comments","radio_contact","radio_by","radio_response","radio_time","r_contact","val_beh","num_beh","num_obs","duplicate","new_beh","n_row"
"1","2008-05-06-N","2008-05-06-N-005","2008-05-06-N-005","5/6/2008","N","MultiOb",2,1,2008,"Veendam","Nat","Port","y","humpback whale",1,"n",0,58.77701162,-136.3841526,58.77701162,-136.3841526,"5/6/2008","5/6/2008",5,"5/6/2008","1/0/1900","5/6/2008",20080506,"08:43:08",1089,308.2830132,419967.2809,6516049.321,16.80260678,419958.7781,6516059.854,419124.7731,6517131.57,142.1100944,1357.990972,13.82708124,"Middle Bay","West Arm","West Arm",-395,2667.576981,-428,2459.471221,5,0,"A-Away","9-Perpendicular","BL-Blowing","80","none","light","calm","excellent",NA,"","","","","","","1",2,2,0,1,3
"2","2008-05-06-N","2008-05-06-N-006","2008-05-06-N-005","5/6/2008","Y","MultiOb",1,2,2008,"Veendam","Nat","Port","y","humpback whale",1,"n",0,58.78178621,-136.3962777,58.78178621,-136.3962777,"5/6/2008","5/6/2008",6,"5/6/2008","1/0/1900","5/6/2008",20080506,"08:44:50",1110,308.5516909,419277.3434,6516595.432,16.82681997,419268.8901,6516606.004,418868.1061,6517613.441,158.3060868,1084.231147,29.75439585,"Middle Bay","West Arm","West Arm",-429,2708.174014,-430,2352.305564,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","80","none","light","calm","excellent",NA,"","","","","","","2",2,2,1,1,3
"3","2008-05-11-N","2008-05-11-N-018","2008-05-11-N-018","5/11/2008","N","MultiOb",3,1,2008,"Ryndam","Nat","Starboard","y","humpback whale",4,"n",0,58.64472474,-136.128862,58.64472474,-136.128862,"5/11/2008","5/11/2008",118,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:48:02",19157,325.1059834,434479.3817,6501044.229,17.17357139,434468.6262,6501054.406,438519.9376,6503183.594,242.2756005,4576.741462,97.16961713,"Middle Bay","Middle Bay","Middle Bay",-308,3444.890226,-51,445.8261926,5,0,"T-Toward","9-Perpendicular","BL-Blowing","90","none","light","calm","excellent",NA,"","","","","","","1",2,3,0,1,5
"4","2008-05-11-N","2008-05-11-N-019","2008-05-11-N-018","5/11/2008","Y","MultiOb",1,2,2008,"Ryndam","Nat","Starboard","y","humpback whale",2,"n",0,58.65624575,-136.1447143,58.65624575,-136.1447143,"5/11/2008","5/11/2008",119,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:50:58",19193,325.7347509,433581.2342,6502342.503,17.56705485,433570.591,6502352.798,433853.2566,6502586.575,230.4076867,366.812946,84.67293584,"Middle Bay","Middle Bay","Middle Bay",-317,3627.337612,-255,3991.354175,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent",NA,"","","","","","","2",2,3,1,1,5
"5","2008-05-11-N","2008-05-11-N-019","2008-05-11-N-018","5/11/2008","Y","MultiOb",1,2,2008,"Ryndam","Nat","Starboard","y","humpback whale",2,"n",0,58.65624575,-136.1447143,58.65624575,-136.1447143,"5/11/2008","5/11/2008",119,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:50:58",19193,325.7347509,433581.2342,6502342.503,17.56705485,433570.591,6502352.798,433853.2566,6502586.575,230.4076867,366.812946,84.67293584,"Middle Bay","Middle Bay","Middle Bay",-317,3627.337612,-255,3991.354175,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent",NA,"","","","","","","2",2,3,0,2,5
"6","2008-05-11-N","2008-05-11-N-021","2008-05-11-N-018","5/11/2008","N","MultiOb",2,3,2008,"Ryndam","Nat","Starboard","n","humpback whale",2,"n",0,58.66759879,-136.1597026,58.66759879,-136.1597026,"5/11/2008","5/11/2008",121,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:53:49",19227,331.4583997,432733.492,6503621.423,17.37140573,432723.9285,6503632.727,433141.8862,6504142.267,219.3608193,659.0292947,67.90241959,"Middle Bay","Middle Bay","Middle Bay",-319,3197.916101,-315,3646.276755,5,0,"T-Toward","9-Perpendicular","BL-Blowing","90","none","light","calm","excellent",NA,"","","","","","","1",2,3,1,2,5
"7","2008-05-11-N","2008-05-11-N-020","2008-05-11-N-019","5/11/2008","N","MultiOb",2,1,2008,"Ryndam","Nat","Starboard","n","humpback whale",2,"n",0,58.66434585,-136.1556472,58.66434585,-136.1556472,"5/11/2008","5/11/2008",120,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:53:01",19217,326.3634745,432962.464,6503255.199,17.41093568,432951.9344,6503265.609,433341.0217,6504101.475,204.9615114,921.9873805,58.59803688,"Middle Bay","Middle Bay","Middle Bay",-317,3391.91122,-308,3839.740689,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent",NA,"","","","","","","2",2,2,0,2,3
"8","2008-05-11-N","2008-05-11-N-023","2008-05-11-N-019","5/11/2008","Y","MultiOb",1,2,2008,"Ryndam","Nat","Starboard","n","humpback whale",2,"n",0,58.67249591,-136.163985,58.67249591,-136.163985,"5/11/2008","5/11/2008",123,"5/11/2008","1/0/1900","5/11/2008",20080511,"07:54:57",19240,338.9086181,432494.5771,6504170.943,17.20343585,432486.5602,6504183.392,432432.5572,6504352.088,162.2491199,177.1291004,3.340501826,"Middle Bay","Middle Bay","Middle Bay",-320,3008.702284,-318,2981.005578,5,0,"W-With","0-Parallel","BL-Blowing","90","none","light","calm","excellent",NA,"","","","","","","1",2,2,1,2,3
"9","2008-05-13-N","2008-05-13-N-004","2008-05-13-N-004","5/13/2008","N","MultiOb",2,1,2008,"Veendam","Nat","Port","n","humpback whale",1,"y",20,58.46053384,-136.0390886,58.46053384,-136.0390886,"5/13/2008","5/13/2008",146,"5/13/2008","1/0/1900","5/13/2008",20080513,"07:06:56",25292,327.6402417,439372.3609,6480453.249,17.3343273,439367.2947,6480466.849,439625.5784,6481046.909,204.0020214,634.9643161,56.36177979,"Lower Bay","Lower Bay","Lower Bay",-68,2005.185451,-73,2182.269095,5,0,"A-Away","9-Perpendicular","BL-Blowing","100","none","light","calm","excellent",NA,"","","","","","","1",1,2,0,1,2
"10","2008-05-13-N","2008-05-13-N-005","2008-05-13-N-004","5/13/2008","Y","MultiOb",1,2,2008,"Veendam","Nat","Port","y","humpback whale",1,"y",20,58.46707718,-136.045205,58.46707718,-136.045205,"5/13/2008","5/13/2008",147,"5/13/2008","1/0/1900","5/13/2008",20080513,"07:08:26",25310,339.600414,439026.8357,6481187.27,17.77143511,439024.6979,6481201.625,439349.8347,6481358.289,244.2733546,360.9120647,84.6729406,"Lower Bay","Lower Bay","Lower Bay",-76,1579.352311,-77,1909.165779,5,0,"G-Against","0-Parallel","BL-Blowing","100","none","light","calm","excellent",NA,"","","","","","","1",1,2,0,1,2
