"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","val_beh","num_beh","num_obs","duplicate","new_beh","n_row"
"1",419124.7731,6517131.57,"2008-05-06-N","2008-05-06-N-005","2008-05-06-N-005",-428,2459.471221,"5/6/2008",20080506,2008,127,"8:43:08","N","MultiOb",2,1,"Veendam","Nat","Port","y",1,"n",0,308.2830132,419967.2809,6516049.321,16.80260678,419958.7781,6516059.854,142.1100944,1357.990972,13.82708124,"Middle Bay","West Arm","West Arm",-395,2667.576981,5,0,"A-Away","9-Perpendicular","BL-Blowing","80","none","light","calm","excellent","1",2,2,0,1,3
"2",418868.1061,6517613.441,"2008-05-06-N","2008-05-06-N-006","2008-05-06-N-005",-430,2352.305564,"5/6/2008",20080506,2008,127,"8:44:50","Y","MultiOb",1,2,"Veendam","Nat","Port","y",1,"n",0,308.5516909,419277.3434,6516595.432,16.82681997,419268.8901,6516606.004,158.3060868,1084.231147,29.75439585,"Middle Bay","West Arm","West Arm",-429,2708.174014,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","80","none","light","calm","excellent","2",2,2,1,1,3
"3",433853.2566,6502586.575,"2008-05-11-N","2008-05-11-N-019","2008-05-11-N-019",-255,3991.354175,"5/11/2008",20080511,2008,132,"7:50:58","N","MultiOb",3,1,"Ryndam","Nat","Starboard","y",2,"n",0,325.7347509,433581.2342,6502342.503,17.56705485,433570.591,6502352.798,230.4076867,366.812946,84.67293584,"Middle Bay","Middle Bay","Middle Bay",-317,3627.337612,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent","2",2,5,0,2,8
"4",433341.0217,6504101.475,"2008-05-11-N","2008-05-11-N-020","2008-05-11-N-019",-308,3839.740689,"5/11/2008",20080511,2008,132,"7:53:01","N","MultiOb",5,2,"Ryndam","Nat","Starboard","n",2,"n",0,326.3634745,432962.464,6503255.199,17.41093568,432951.9344,6503265.609,204.9615114,921.9873805,58.59803688,"Middle Bay","Middle Bay","Middle Bay",-317,3391.91122,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent","2",2,5,0,2,8
"5",433141.8862,6504142.267,"2008-05-11-N","2008-05-11-N-021","2008-05-11-N-019",-315,3646.276755,"5/11/2008",20080511,2008,132,"7:53:49","N","MultiOb",4,3,"Ryndam","Nat","Starboard","n",2,"n",0,331.4583997,432733.492,6503621.423,17.37140573,432723.9285,6503632.727,219.3608193,659.0292947,67.90241959,"Middle Bay","Middle Bay","Middle Bay",-319,3197.916101,5,0,"T-Toward","9-Perpendicular","BL-Blowing","90","none","light","calm","excellent","1",2,5,1,2,8
"6",433141.8862,6504142.267,"2008-05-11-N","2008-05-11-N-021","2008-05-11-N-019",-315,3646.276755,"5/11/2008",20080511,2008,132,"7:53:49","N","MultiOb",4,3,"Ryndam","Nat","Starboard","n",2,"n",0,331.4583997,432733.492,6503621.423,17.37140573,432723.9285,6503632.727,219.3608193,659.0292947,67.90241959,"Middle Bay","Middle Bay","Middle Bay",-319,3197.916101,5,0,"T-Toward","9-Perpendicular","BL-Blowing","90","none","light","calm","excellent","1",2,5,0,1,8
"7",432720.5156,6504196.404,"2008-05-11-N","2008-05-11-N-022","2008-05-11-N-019",-319,3235.893838,"5/11/2008",20080511,2008,132,"7:54:24","N","MultiOb",2,4,"Ryndam","Nat","Starboard","y",2,"n",0,337.0634837,432600.2341,6503900.186,17.43742831,432591.8205,6503912.371,204.3752304,311.8287958,47.31174665,"Middle Bay","Middle Bay","Middle Bay",-319,3084.893926,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","2",2,5,1,1,8
"8",432720.5156,6504196.404,"2008-05-11-N","2008-05-11-N-022","2008-05-11-N-019",-319,3235.893838,"5/11/2008",20080511,2008,132,"7:54:24","N","MultiOb",2,4,"Ryndam","Nat","Starboard","y",2,"n",0,337.0634837,432600.2341,6503900.186,17.43742831,432591.8205,6503912.371,204.3752304,311.8287958,47.31174665,"Middle Bay","Middle Bay","Middle Bay",-319,3084.893926,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","2",2,5,0,2,8
"9",432432.5572,6504352.088,"2008-05-11-N","2008-05-11-N-023","2008-05-11-N-019",-318,2981.005578,"5/11/2008",20080511,2008,132,"7:54:57","Y","MultiOb",1,5,"Ryndam","Nat","Starboard","n",2,"n",0,338.9086181,432494.5771,6504170.943,17.20343585,432486.5602,6504183.392,162.2491199,177.1291004,3.340501826,"Middle Bay","Middle Bay","Middle Bay",-320,3008.702284,5,0,"W-With","0-Parallel","BL-Blowing","90","none","light","calm","excellent","1",2,5,1,2,8
"10",439625.5784,6481046.909,"2008-05-13-N","2008-05-13-N-004","2008-05-13-N-004",-73,2182.269095,"5/13/2008",20080513,2008,134,"7:06:56","N","MultiOb",2,1,"Veendam","Nat","Port","n",1,"n",0,327.6402417,439372.3609,6480453.249,17.3343273,439367.2947,6480466.849,204.0020214,634.9643161,56.36177979,"Lower Bay","Lower Bay","Lower Bay",-68,2005.185451,5,0,"A-Away","9-Perpendicular","BL-Blowing","100","none","light","calm","excellent","1",1,2,0,1,2
"11",439349.8347,6481358.289,"2008-05-13-N","2008-05-13-N-005","2008-05-13-N-004",-77,1909.165779,"5/13/2008",20080513,2008,134,"7:08:26","Y","MultiOb",1,2,"Veendam","Nat","Port","y",1,"n",0,339.600414,439026.8357,6481187.27,17.77143511,439024.6979,6481201.625,244.2733546,360.9120647,84.6729406,"Lower Bay","Lower Bay","Lower Bay",-76,1579.352311,5,0,"G-Against","0-Parallel","BL-Blowing","100","none","light","calm","excellent","1",1,2,0,1,2
"12",441310.608,6480390.801,"2008-05-25-N","2008-05-25-N-005","2008-05-25-N-005",-34,1003.862444,"5/25/2008",20080525,2008,146,"6:26:19","N","MultiOb",2,1,"Ryndam","Nat","Starboard","y",1,"n",0,336.2495152,440038.0599,6479879.24,15.8527109,440030.7921,6479890.791,248.6599627,1374.022804,92.41044755,"Lower Bay","Lower Bay","Lower Bay",-58,2280.877477,5,0,"U-Unsure","U-Unsure","RE-Resting","5","none","light","calm","excellent","5",2,2,0,5,3
"13",440632.9569,6480518.544,"2008-05-25-N","2008-05-25-N-006","2008-05-25-N-005",-32,1421.321255,"5/25/2008",20080525,2008,146,"6:27:15","Y","MultiOb",1,2,"Ryndam","Nat","Starboard","y",1,"n",0,331.6751412,439841.6068,6480293.122,15.88313725,439833.4409,6480304.057,254.9827766,827.7865377,103.3076353,"Lower Bay","Lower Bay","Lower Bay",-67,2217.789549,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","5","none","light","calm","excellent","2",2,2,1,5,3
"14",438520.6883,6497234.626,"2008-05-25-N","2008-05-25-N-016","2008-05-25-N-016",-209,3001.655868,"5/25/2008",20080525,2008,146,"7:01:50","N","MultiOb",2,1,"Ryndam","Nat","Starboard","y",1,"n",0,324.0005004,436975.0751,6497800.24,17.80625186,436965.5221,6497809.987,290.3028158,1658.186238,146.3023154,"Middle Bay","Middle Bay","Middle Bay",-241,1764.595904,5,0,"A-Away","9-Perpendicular","SA-Surface-active","5","none","light","calm","excellent","6",2,2,0,6,3
"15",437018.1146,6497552.803,"2008-05-25-N","2008-05-25-N-017","2008-05-25-N-016",-241,1699.073042,"5/25/2008",20080525,2008,146,"7:03:05","Y","MultiOb",1,2,"Ryndam","Nat","Starboard","y",1,"n",0,320.8961499,436548.5923,6498337.317,17.81434543,436538.5255,6498346.532,328.8586789,927.3681197,-172.037471,"Middle Bay","Middle Bay","Middle Bay",-254,1784.729984,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","5","none","light","calm","excellent","2",2,2,1,6,3
"16",438629.4917,6489432.669,"2008-05-26-N","2008-05-26-N-034","2008-05-26-N-034",-93,2796.429019,"5/26/2008",20080526,2008,147,"19:10:30","N","MultiOb",3,1,"Sapphire Princess","Nat","Port","y",1,"n",0,176.3311428,438157.8675,6492134.954,14.61334426,438158.9236,6492102.856,350.0053665,2711.333987,-6.325776269,"Lower Bay","Middle Bay","Middle Bay",-107,1510.857698,5,0,"A-Away","9-Perpendicular","SA-Surface-active","5","none","moderate","1'","excellent","6",2,3,0,6,4
"17",438120.0339,6489779.309,"2008-05-26-N","2008-05-26-N-035","2008-05-26-N-034",-93,2626.10377,"5/26/2008",20080526,2008,147,"19:11:44","Y","MultiOb",1,2,"Sapphire Princess","Nat","Port","y",1,"n",0,176.7935693,438187.0442,6491606.779,13.81935787,438187.8412,6491574.673,2.162918861,1796.644328,5.36934957,"Lower Bay","Middle Bay","Middle Bay",-102,1773.270247,5,0,"WA-With/Aw","4-45-degrees","DF-Dive-fluke-up","5","none","moderate","1'","excellent","2",2,3,1,6,4
"18",438120.0339,6489779.309,"2008-05-26-N","2008-05-26-N-035","2008-05-26-N-034",-93,2626.10377,"5/26/2008",20080526,2008,147,"19:11:44","Y","MultiOb",1,2,"Sapphire Princess","Nat","Port","y",1,"n",0,176.7935693,438187.0442,6491606.779,13.81935787,438187.8412,6491574.673,2.162918861,1796.644328,5.36934957,"Lower Bay","Middle Bay","Middle Bay",-102,1773.270247,5,0,"WA-With/Aw","4-45-degrees","DF-Dive-fluke-up","5","none","moderate","1'","excellent","2",2,3,0,2,4
"19",436553.5601,6489333.834,"2008-05-26-N","2008-05-26-N-036","2008-05-26-N-034",-78,2369.201737,"5/26/2008",20080526,2008,147,"19:16:03","N","MultiOb",2,3,"Sapphire Princess","Nat","Port","y",1,"n",0,175.6721707,438303.2833,6489865.44,12.69593036,438304.7085,6489833.356,74.07897303,1821.00076,78.40680232,"Lower Bay","Middle Bay","Middle Bay",-93,2695.317512,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","5","none","moderate","1'","excellent","2",2,3,0,2,4
"20",438653.0146,6482800.134,"2008-05-28-N","2008-05-28-N-002","2008-05-28-N-002",-86,1927.797807,"5/28/2008",20080528,2008,149,"6:06:10","N","MultiOb",3,1,"Statendam","Nat","Starboard","y",1,"n",0,325.3564881,441000.9132,6478877.082,13.32966428,440991.5935,6478887.051,149.1361618,4558.636981,3.779673751,"Lower Bay","Lower Bay","Lower Bay",-51,2275.946448,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","50","none","light","calm","excellent","2",1,3,0,2,3
"21",439293.1455,6481890.461,"2008-05-28-N","2008-05-28-N-003","2008-05-28-N-002",-83,1966.702982,"5/28/2008",20080528,2008,149,"6:12:19","N","MultiOb",2,2,"Statendam","Nat","Starboard","y",1,"n",0,337.6895967,439663.5597,6481054.574,13.35354875,439656.5845,6481066.304,156.2033498,900.7346156,-1.486246905,"Lower Bay","Lower Bay","Lower Bay",-73,2161.583881,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","50","none","light","calm","excellent","2",1,3,0,2,3
"22",439488.1451,6481584.235,"2008-05-28-N","2008-05-28-N-004","2008-05-28-N-002",-81,2075.412513,"5/28/2008",20080528,2008,149,"6:13:33","Y","MultiOb",1,3,"Statendam","Nat","Starboard","y",2,"n",0,344.6467041,439499.9518,6481532.684,13.27342739,439494.4488,6481545.172,170.8328577,39.56764001,6.186153582,"Lower Bay","Lower Bay","Lower Bay",-81,2078.479084,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","50","none","light","calm","excellent","2",1,3,0,2,3
"23",405259.3581,6527989.985,"2008-05-28-N","2008-05-28-N-016","2008-05-28-N-016",-248,1133.767767,"5/28/2008",20080528,2008,149,"7:59:10","N","MultiOb",2,1,"Statendam","Nat","Starboard","y",1,"n",0,291.2751355,407294.7174,6526150.897,19.13452597,407281.4117,6526153.932,132.2398959,2731.262249,20.96476039,"West Arm","West Arm","West Arm",-389,2087.732412,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","50","none","light","calm","excellent","2",2,2,0,2,3
"24",405288.1435,6526898.645,"2008-05-28-N","2008-05-28-N-017","2008-05-28-N-016",-401,2147.146712,"5/28/2008",20080528,2008,149,"8:02:06","Y","MultiOb",1,2,"Statendam","Nat","Starboard","n",1,"n",0,291.0180543,405680.7548,6526770.32,19.1321338,405667.4357,6526773.295,108.2879156,399.4686871,-2.730138679,"West Arm","West Arm","West Arm",-366,2173.19246,5,0,"T-Toward","9-Perpendicular","LF-Lunge-feed","50","none","light","calm","excellent","4",2,2,1,2,3
"25",418104.569,6517227.35,"2008-05-28-N","2008-05-28-N-041","2008-05-28-N-041",-389,2398.029928,"5/28/2008",20080528,2008,149,"13:17:44","N","MultiOb",2,1,"Statendam","Nat","Starboard","y",1,"n",0,127.5045564,416942.8066,6518393.175,17.33185251,416954.7339,6518386.543,315.2321854,1632.742393,7.727629036,"Middle Bay","West Arm","West Arm",-296,2355.36947,5,0,"A-Away","9-Perpendicular","BL-Blowing","30","none","light","1'","excellent","1",2,2,0,1,3
"26",417910.1418,6516747.597,"2008-05-28-N","2008-05-28-N-042","2008-05-28-N-041",-289,1990.603431,"5/28/2008",20080528,2008,149,"13:20:17","Y","MultiOb",1,2,"Statendam","Nat","Starboard","y",1,"n",0,127.5939555,418026.0796,6517562.219,17.31920238,418037.9965,6517555.568,8.992028615,818.0239564,61.39807309,"Middle Bay","West Arm","West Arm",-375,2486.3827,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","30","none","light","1'","excellent","2",2,2,1,1,3
"27",440608.9022,6488513.784,"2008-05-31-N","2008-05-31-N-037","2008-05-31-N-037",-49,616.505585,"5/31/2008",20080531,2008,152,"14:35:40","N","MultiOb",4,1,"Coral Princess","Nat","Starboard","y",1,"n",0,180.9716914,438329.8311,6492477.21,19.03848506,438332.5763,6492462.162,330.0356108,4557.558975,-30.93608062,"Lower Bay","Middle Bay","Middle Bay",-112,1608.801342,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","100","none","moderate","1'","excellent","2",2,4,0,2,5
"28",439898.9666,6487653.965,"2008-05-31-N","2008-05-31-N-038","2008-05-31-N-037",-68,929.3329587,"5/31/2008",20080531,2008,152,"14:38:27","N","MultiOb",3,2,"Coral Princess","Nat","Starboard","y",1,"n",0,180.9096682,438301.3366,6490944.154,16.49895484,438304.0981,6490929.108,334.035704,3642.824346,-26.8739642,"Lower Bay","Middle Bay","Middle Bay",-57,2109.434711,5,0,"A-Away","9-Perpendicular","DF-Dive-fluke-up","100","none","moderate","1'","excellent","2",2,4,0,2,5
"29",438592.0783,6487349.442,"2008-05-31-N","2008-05-31-N-039","2008-05-31-N-037",-95,1846.314389,"5/31/2008",20080531,2008,152,"14:42:10","N","MultiOb",2,3,"Coral Princess","Nat","Starboard","y",1,"n",0,181.3330224,438277.6672,6489150.936,14.59839635,438280.3174,6489135.87,350.1006488,1813.42852,-11.23237363,"Lower Bay","Middle Bay","Middle Bay",-95,3032.092299,5,0,"WA-With/Aw","4-45-degrees","BL-Blowing","100","none","moderate","1'","excellent","1",2,4,1,2,5
"30",438592.0783,6487349.442,"2008-05-31-N","2008-05-31-N-039","2008-05-31-N-037",-95,1846.314389,"5/31/2008",20080531,2008,152,"14:42:10","N","MultiOb",2,3,"Coral Princess","Nat","Starboard","y",1,"n",0,181.3330224,438277.6672,6489150.936,14.59839635,438280.3174,6489135.87,350.1006488,1813.42852,-11.23237363,"Lower Bay","Middle Bay","Middle Bay",-95,3032.092299,5,0,"WA-With/Aw","4-45-degrees","BL-Blowing","100","none","moderate","1'","excellent","1",2,4,0,1,5
"31",437849.066,6487434.039,"2008-05-31-N","2008-05-31-N-040","2008-05-31-N-037",-98,2236.366321,"5/31/2008",20080531,2008,152,"14:45:20","Y","MultiOb",1,4,"Coral Princess","Nat","Starboard","n",1,"n",0,181.9223446,438239.394,6487796.754,13.66720751,438241.8891,6487781.662,48.49325793,524.5490937,46.5709133,"Lower Bay","Middle Bay","Middle Bay",-96,2368.108671,5,0,"A-Away","9-Perpendicular","BL-Blowing","100","none","moderate","1'","excellent","1",2,4,0,1,5
"32",437831.5723,6488840.537,"2008-06-01-N","2008-06-01-N-007","2008-06-01-N-007",-98,3163.839089,"6/1/2008",20080601,2008,153,"11:27:13","N","MultiOb",2,1,"Tahitian Princess","Nat","Starboard","y",1,"n",0,354.5861546,438208.6698,6487051.081,14.50244247,438206.5138,6487063.232,168.0875137,1816.423431,-6.498640855,"Lower Bay","Lower Bay","Lower Bay",-99,2055.929021,6,1,"A-Away","9-Perpendicular","DF-Dive-fluke-up","100","none","light","calm","excellent","2",2,2,0,2,3
"33",438031.155,6489188.321,"2008-06-01-N","2008-06-01-N-008","2008-06-01-N-007",-98,3033.32269,"6/1/2008",20080601,2008,153,"11:32:09","Y","MultiOb",1,2,"Tahitian Princess","Nat","Starboard","n",1,"n",0,1.228957239,438131.8435,6489202.292,13.63239135,438131.1075,6489214.611,75.26340411,103.3522457,-105.9655531,"Lower Bay","Middle Bay","Middle Bay",-95,3079.728432,6,1,"W-With","0-Parallel","BL-Blowing","100","none","light","calm","excellent","1",2,2,1,2,3
"34",437479.0138,6487554.077,"2008-06-04-N","2008-06-04-N-035","2008-06-04-N-035",-90,1995.061045,"6/4/2008",20080604,2008,156,"14:32:36","N","MultiOb",2,1,"Statendam","Nat","Starboard","y",1,"y",20,180.0946506,438219.6215,6488090.188,14.77514115,438221.5992,6488076.684,54.86337204,908.0480913,54.76872149,"Lower Bay","Middle Bay","Middle Bay",-97,2530.861554,6,1,"WA-With/Aw","45-45-degrees","DF-Dive-fluke-up","100","moderate","moderate","1'","good","2",2,2,0,2,3
"35",437737.8221,6487636.48,"2008-06-04-N","2008-06-04-N-036","2008-06-04-N-035",-97,2252.197126,"6/4/2008",20080604,2008,156,"14:33:19","Y","MultiOb",1,2,"Statendam","Nat","Starboard","n",1,"y",20,182.757314,438214.7868,6487763.39,14.87203289,438216.1351,6487749.81,76.67033483,491.5556275,73.91302082,"Lower Bay","Middle Bay","Middle Bay",-96,2373.769914,6,1,"WA-With/Aw","45-45-degrees","SA-Surface-active","100","moderate","moderate","1'","good","6",2,2,1,2,3
