steps,turns,time_diff_sec,type,same_whale_ID,X,Y,time_txt,ob_order_time,ship_whale_dist,ship_whale_bearing,whale_behavior
228.8890005,NA,42,surface_interval,2008-06-15-K-053,438895.5672,6485266.712,15:34:55,1,1186.891823,-25.97438621,BL-Blowing
32.54865909,-0.007914284,41,surface_interval,2008-06-15-K-053,438934.5496,6485041.167,15:35:37,2,1134.013433,-27.67040922,BL-Blowing
28.53406063,1.900034457,28,surface_interval,2008-06-15-K-053,438939.839,6485009.051,15:36:18,3,925.7096732,-35.46107577,DF-Dive-fluke-up
187.5638046,2.681533804,55,surface_interval,2008-06-15-K-053,438964.9823,6485022.542,15:36:46,4,789.0079864,-46.00754336,SA-Surface-active
97.23133543,-0.031557013,34,surface_interval,2008-06-15-K-053,438777.517,6485016.464,15:37:41,5,407.1378301,-70.32016842,BL-Blowing
877.7382283,-1.029016165,40,surface_interval,2008-07-02-K-113,485782.5485,6448276.255,17:51:34,3,2797.706765,-89.0532345,DN-Dive-no-fluke
363.388444,0.54758526,22,surface_interval,2008-07-02-K-113,485700.2025,6447402.388,17:52:14,4,1997.668391,-89.00979918,BL-Blowing
709.5574423,-0.440258429,32,surface_interval,2008-07-02-K-113,485859.451,6447075.752,17:52:36,5,1796.985919,-86.13480595,BL-Blowing
491.1696446,0.540414219,32,surface_interval,2008-07-02-K-113,485868.9393,6446366.258,17:53:08,6,1195.832591,-81.34980729,BL-Blowing
310.0615707,-0.568719829,17,surface_interval,2008-07-02-K-113,486127.2512,6445948.499,17:53:40,7,993.636144,-71.4859157,BL-Blowing
1163.029392,NA,196,deep_dive,2008-07-13-K-116,517259.8369,6339885.863,21:21:26,1,1986.436675,-16.5892424,DF-Dive-fluke-up
139.4753584,-0.414169184,41,surface_interval,2008-07-13-K-116,516788.9925,6338822.405,21:24:42,2,986.3346264,-1.851364422,BL-Blowing
51.08299743,-0.528513856,17,surface_interval,2008-07-13-K-116,516685.9774,6338728.377,21:25:23,3,664.5916784,5.553450374,BL-Blowing
646.1964577,NA,36,surface_interval,2008-08-06-K-076,444393.0731,6466667.165,16:33:09,1,1010.712677,-151.1089078,BL-Blowing
357.4348985,-0.238539526,41,surface_interval,2008-08-06-K-076,444840.8189,6466201.232,16:33:45,2,707.5103412,-133.043215,BL-Blowing
666.7694897,-0.136576716,55,surface_interval,2008-08-06-K-076,445020.5745,6465892.286,16:34:26,3,607.991316,-135.711837,BL-Blowing
251.441329,NA,32,surface_interval,2009-05-18-K-077,441165.9526,6468973.723,16:59:11,1,590.3205773,-44.83343853,BL-Blowing
15.33357912,-0.503616404,18,surface_interval,2009-05-18-K-077,441126.2874,6469222.016,16:59:43,2,282.5782052,-52.21120219,BL-Blowing
6.556781361,1.399324144,39,surface_interval,2009-05-18-K-077,441131.4761,6469236.445,17:00:01,3,244.0220271,-63.03990512,BL-Blowing
862.0540936,NA,313,deep_dive,2009-05-24-K-069,442680.3662,6472576.959,16:09:25,1,4992.590997,9.337223942,BL-Blowing
547.7291725,0.519490221,247,deep_dive,2009-05-24-K-069,443096.6388,6473331.846,16:14:38,2,2992.290951,3.696567568,DF-Dive-fluke-up
34.35273767,-2.125493225,16,surface_interval,2009-05-24-K-069,443088.125,6473879.509,16:18:45,3,536.3610851,9.176651727,BL-Blowing
684.3684057,NA,208,deep_dive,2009-06-29-N-021,421837.2208,6513238.704,12:09:43,1,2969.373687,-21.79873779,BL-Blowing
393.5163014,-1.895005055,60,surface_interval,2009-06-29-N-021,421496.5437,6513832.252,12:13:11,2,2170.397351,-27.12900046,DN-Dive-no-fluke
268.3754698,-0.124805501,40,surface_interval,2009-06-29-N-021,421882.4603,6513909.216,12:14:11,3,1470.029253,-25.67233426,DN-Dive-no-fluke
88.16279339,-0.347767562,39,surface_interval,2009-06-29-N-021,422235.4811,6514103.838,12:16:08,5,472.1706508,-35.95136991,DN-Dive-no-fluke
143.456867,NA,29,surface_interval,2009-07-01-K-027,443794.8697,6469043.829,6:31:08,1,485.3398535,-9.34512828,BL-Blowing
30.10682613,-0.426217646,24,surface_interval,2009-07-01-K-027,443771.5694,6469185.381,6:31:37,2,440.3536238,-12.30368022,BL-Blowing
14.85385457,0.718478728,22,surface_interval,2009-07-01-K-027,443779.3987,6469214.452,6:32:01,3,304.5547978,-20.83789517,BL-Blowing
80.75829977,0.711356028,39,surface_interval,2009-07-01-N-025,427688.8881,6510370.979,11:38:13,2,829.5175609,20.97702974,DN-Dive-no-fluke
154.2753409,-0.123489105,60,surface_interval,2009-07-01-N-025,427616.2606,6510335.664,11:38:52,3,573.5550504,21.94612287,BL-Blowing
52.96257379,-0.427741306,29,surface_interval,2009-07-01-N-025,427470.2645,6510285.804,11:39:52,4,197.8351044,20.0505652,BL-Blowing
