"new_whale_long","new_whale_lat"
419566.038261008,6516876.43625168
419578.500562858,6516880.81754505
419558.501679743,6516873.78666301
419569.277493415,6516877.57504832
419557.078130264,6516873.28619464
419580.074850492,6516881.37100749
419599.82131802,6516888.31314925
419596.638336409,6516887.19412837
419570.219954518,6516877.90638347
419589.922330387,6516884.83302426
419568.373001993,6516877.25706194
419592.983740989,6516885.90930518
419582.77933498,6516882.32180615
419591.036240447,6516885.22463463
419549.191536478,6516870.51355424
419581.892096192,6516882.00988517
419577.242305575,6516880.37518742
419600.079089753,6516888.40377244
419579.32048657,6516881.10580049
419553.046951376,6516871.86897832
419572.450368343,6516878.69051608
419577.409366515,6516880.43391999
419586.420642017,6516883.60195763
419550.943547039,6516871.12949762
419587.460013178,6516883.96736284
419550.037829379,6516870.81108014
419551.504223798,6516871.32661124
419557.669223142,6516873.49400146
419593.789754131,6516886.19267017
419601.896942096,6516889.04286338
419549.055599168,6516870.46576361
419594.949758787,6516886.60048573
419576.55261117,6516880.13271588
419561.439959398,6516874.81965559
419570.751524216,6516878.0932641
419594.765649841,6516886.5357597
419562.19397175,6516875.08473899
419552.219190279,6516871.57796753
419584.137556859,6516882.7993077
419581.702865535,6516881.94335853
419562.215550278,6516875.09232521
419559.39468468,6516874.10061117
419578.939439392,6516880.97183813
419594.886941847,6516886.57840157
419588.723509011,6516884.41156214
419580.184978892,6516881.40972464
419575.879784818,6516879.89617454
419596.450131647,6516887.12796241
419561.735084412,6516874.92341084
419597.681850023,6516887.56098991
419564.706910564,6516875.96819715
419581.96980227,6516882.03720381
