 steps turns
 0.0631770155 NA	
 0.0535159774 4.064618172	
 NA NA	
 NA NA	
 0.0480745006 NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 0.1414053848 NA	
 NA NA	
 NA NA	
 0.2376240166 NA	
 0.8842192966 1.119949155	
 0.5518487350 4.194975207	
 0.0152991759 0.821398935	
 0.1547111079 5.446764310	
 0.0285812997 5.259206087	
 0.4318220183 0.812958983	
 0.2753939219 5.538329799	
 0.5780298266 0.884158345	
 0.2437728690 5.576216384	
 0.5896075202 0.229495259	
 0.0097870846 3.091244633	
 0.6148805457 3.235657847	
 0.0504721186 3.193505631	
 0.7737200772 2.689157449	
 1.5394349762 5.858753337	
 0.0961456221 6.096542895	
 1.2217183847 0.701647335	
 1.1326046774 6.167930797	
 0.0300820125 0.948544898	
 0.0134054347 1.446066132	
 0.0083921711 5.641142360	
 0.2644637333 5.164441055	
 0.5598601536 0.872441801	
 0.1882889896 0.045749894	
 1.5440228381 5.201537959	
 0.3830984615 6.174854057	
 0.3698837996 0.264983353	
 0.0745225900 0.281306620	
 0.0458755289 2.780741367	
 0.8711234908 3.878915517	
 2.1025875882 2.249515679	
 0.0647392267 6.120384279	
 NA NA	
 NA NA	
 0.0156425524 NA	
 1.4088484338 4.069117412	
 0.1108646411 1.794604750	
 0.4300545516 5.832328392	
 1.0754413923 5.536480539	
 0.0153564195 4.940757679	
 1.0020502583 0.292272758	
 0.1561166841 0.141346465	
 0.0713118813 0.838523051	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 0.2727612657 NA	
 NA NA	
 NA NA	
 0.0260246279 NA	
 0.0317620094 2.583423676	
 0.0149223666 1.997824094	
 0.4370693375 5.530606396	
 NA NA	
 NA NA	
 0.0480242619 NA	
 0.2110593222 0.330590221	
 0.0063425523 3.798436467	
 1.0187907751 4.364453914	
 1.9128266473 2.919155586	
 0.2840548222 5.862687195	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 0.0430465944 NA	
 0.2450481191 6.222964455	
 0.2430533342 5.916970026	
 0.3399830607 0.120541588	
 0.8577953253 5.254795221	
 0.5304310434 0.092596827	
 0.1532289887 5.568971804	
 0.1833705053 0.249738996	
 0.0874956287 4.679112357	
 0.2626013607 0.325740546	
 0.9094514972 0.197418262	
 0.5996877936 5.277764280	
 1.0897892018 5.641026792	
 0.0679218038 5.810384961	
 0.0768929360 6.085696022	
 0.0577690655 4.284905476	
 NA NA	
 NA NA	
 0.3935827289 NA	
 0.0017811537 0.224281549	
 0.3017668711 4.536165868	
 0.3559058921 0.232413809	
 0.4342299950 6.142945790	
 0.1541153040 5.365100872	
 0.0292003186 2.793890213	
 0.7257160468 4.697153124	
 0.3260134937 6.190071200	
 0.7032901219 0.698290080	
 0.2217911105 1.885101190	
 0.4663514192 0.927824150	
 0.0245936363 2.154889264	
 0.1049478615 4.613435821	
 0.0041489803 1.229794676	
 0.2270994934 2.364864185	
 NA NA	
 NA NA	
 0.1568638243 NA	
 0.0902825669 3.736880027	
 0.1709807973 0.850874828	
 1.0723963050 5.849631897	
 0.0008930845 3.262599667	
 0.8523145483 2.138553728	
 1.5061869567 6.004229634	
 0.0145218928 4.300627798	
 0.1308271753 2.481148751	
 0.0414205429 0.437438703	
 0.4600316742 6.278938759	
 0.0539672539 4.611048719	
 0.0283010074 0.221358823	
 0.8883743115 0.874511880	
 2.5490340470 0.086880371	
 0.0182015380 6.080400491	
 0.2748994339 1.521722774	
 0.0084629668 3.168940272	
 1.2626732775 2.830466362	
 1.6800206200 6.133898271	
 0.0023858017 2.082514792	
 1.0378733096 4.860908222	
 0.8618931404 0.710614435	
 0.0244926927 1.324938980	
 0.1158216195 5.959489457	
 0.0384000813 2.974556408	
 0.1249652769 0.374556733	
 0.0564223978 2.870734079	
 0.0943359969 2.939164253	
 0.0922391145 2.973483865	
 1.3196138170 5.339047952	
 0.3602130044 1.413400276	
 0.8077567830 5.712522838	
 0.1848889511 2.113853576	
 0.2980406939 1.075361462	
 5.6529735743 1.482774809	
 0.1968839631 5.724920168	
 0.3946249821 3.884155447	
 2.8557425020 0.441367982	
 0.1623968822 0.705188788	
 0.4088430041 1.204109374	
 0.5359332400 1.497695219	
 1.2318752873 5.532330000	
 0.3053955843 6.210377718	
 0.2997138602 4.847935539	
 0.2527008866 4.974338784	
 NA NA	
 NA NA	
 1.6287616825 NA	
 0.6476549376 5.975484663	
 0.0896378086 0.227793971	
 0.1716169634 5.499777128	
 0.0043898269 1.632673744	
 0.1981484416 1.178986872	
 0.6360998705 5.523070998	
 0.4119578201 5.745269181	
 1.6126429291 6.172517885	
 0.1740213552 5.918269900	
 0.4503603969 0.191069280	
 0.7433523057 0.131875161	
 0.0044825068 3.310666135	
 0.1270097068 3.892720856	
 0.2909170829 4.100088113	
 0.6727377517 5.994005635	
 0.1362821463 6.112856374	
 0.0399306969 4.700352318	
 0.1773226947 2.552271112	
 0.2020651491 5.940516122	
 0.0110033898 0.561405728	
 0.2652202180 2.492055680	
 0.2744715909 0.458046551	
 0.0902299985 0.233897168	
 0.2902202154 5.150258838	
 0.5396200850 0.450046366	
 0.1713130929 5.251102654	
 0.1108694549 5.952639498	
 0.0017829163 1.004910601	
 0.0876423315 5.520312696	
 0.2594668563 5.936245313	
 0.8213333314 1.860287833	
 0.9297810540 2.743427987	
 0.0346731185 0.258448176	
 0.0053186910 3.019810300	
 0.0206953178 0.172992441	
 0.0171475868 6.274659735	
 0.8752140386 1.288307995	
 0.0855469067 4.572844672	
 0.0633983917 0.015469488	
 0.3991917079 5.247138569	
 0.4074630303 4.980439301	
 0.0039918276 2.364268427	
 1.4142886338 6.119203687	
 2.4451271955 0.606828043	
 0.2301559369 1.103398819	
 3.2900097636 0.945308545	
 0.0051197549 4.282184507	
 0.6931713715 1.467042512	
 4.1639491467 3.392556074	
 0.2739396961 1.525626260	
 0.2092939048 0.192675775	
 0.1078468418 2.225068749	
 1.5526381664 6.132439296	
 1.9561348565 5.654845871	
 0.0054356723 6.134339852	
 1.5823409002 5.357249196	
 0.1362816521 0.429454055	
 0.0261183737 6.140240010	
 0.2857082729 5.136551013	
 0.0949014157 0.591318029	
 2.4068934550 6.014419385	
 0.6342765308 0.602831676	
 0.0315202966 0.417877427	
 1.2265659125 4.273261275	
 0.6005595254 5.631028055	
 0.2507003927 2.560168323	
 0.3334961657 3.424890452	
 0.1202172112 0.112193218	
 0.8271412731 3.349187988	
 1.2005156800 6.142738338	
 0.1057713094 1.542228772	
 0.6066699810 1.842233702	
 1.3551485897 5.954529393	
 0.3191482657 2.921891261	
 0.0411862476 2.073867117	
 0.0838437049 2.322919924	
 1.5462540418 2.301572792	
 NA NA	
 NA NA	
 0.8391235292 NA	
 0.2414138675 0.123766558	
 2.1911612041 0.609250537	
 0.5961629474 5.497292908	
 0.1294816612 4.332210148	
 1.7250058454 5.159543369	
 0.3456534833 1.320990856	
 0.1017810208 2.414165662	
 1.5180844305 5.874048882	
 0.1408882131 5.650758606	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 NA NA	
 0.7533976828 NA	
 1.4294926287 6.194349963	
 0.4484630497 0.219076002	
 1.7036632141 0.092578194	
 0.4280108891 5.332485905	
 0.0318749975 4.870198692	
 0.0229842537 1.080195589	
 0.0675637598 2.470763178	
 0.0977770565 4.433515870	
 0.8684084550 5.330378369	
 0.1977271630 1.354063671	
 0.3616840970 6.015701275	
 0.2595227896 2.484436707	
 0.1371597451 1.807458570	
 0.0502792910 4.947839251	
 0.0905467144 3.201815145	
 1.0991494445 0.993106174	
 2.0854054948 0.507919796	
 1.1410527866 5.752910366	
 0.6163513282 3.315665418	
 0.0310948446 5.278843472	
 0.1111468585 2.726394805	
 0.1435842523 1.503365099	
 0.0743436775 2.089763096	
 1.4373360700 6.239765489	
 0.3727079521 0.219945792	
 0.1903972722 0.033875420	
 0.1324737876 4.507514561	
 0.0176673021 4.490974422	
 2.1231606373 3.445620382	
 0.7867569301 0.108938969	
 0.0351311436 4.787576552	
 0.3735868467 4.967382962	
 0.8107976518 0.183676212	
 0.1279681465 3.622600593	
 0.2993139150 2.115751612	
 0.5181547329 0.601097894	
 0.2776193070 5.791022695	
 0.0175817430 0.330376035	
 1.0533374986 4.933583878	
 0.0430821220 1.052334842	
 0.1641952717 2.558472111	
 0.0043029372 3.719532316	
 0.1732614200 5.680900711	
 0.0756428299 0.081969341	
 0.5456728702 6.144360290	
 0.0325627949 0.605515980	
 0.0025054990 5.016965373	
 0.1072197203 4.020483365	
 0.8391310896 0.184411591	
 0.0675024451 3.505798494	
 0.2325910175 0.202809913	
 0.0163379241 1.555533712	
 0.1197788593 4.684299473	
 NA NA	
 NA NA	
 0.1541522397 NA	
 0.6000475997 0.154358718	
 0.0834317595 5.785537633	
 0.2068147897 2.709615470	
 0.0153352407 5.242117922	
 0.0203193435 4.119675119	
 0.6003325511 0.743866544	
 0.0046571942 3.882864154	
 0.0507846255 5.008388532	
 0.0401933150 4.201837694	
 0.0656790342 6.063831297	
 0.3487349091 6.095973576	
 0.0329999992 5.604267889	
 0.6947179223 4.726662376	
 0.0184646437 0.136407332	
 0.0237422917 3.645830826	
 0.0011071195 0.773915448	
 0.6380543491 3.112855808	
 0.5572593366 0.458655658	
 0.0688716194 4.535210749	
 0.0988185443 0.176673386	
 0.0430990792 5.228784920	
 0.2154009065 5.251764371	
 1.8344988810 0.441616371	
 0.0121215348 1.879150533	
 1.4603570822 4.020593493	
 0.1119271865 6.036824383	
 0.4563003654 0.568275350	
 0.0140063151 3.601565754	
 0.0436804341 1.373881723	
 0.0531085269 4.864689004	
 0.0247303448 1.794332515	
 0.0294336647 3.614063277	
 0.0158642415 1.468640667	
 0.0315230374 2.882791792	
 0.0315300014 3.559587488	
 0.0172390574 4.905922445	
 0.2124876753 2.895160797	
 0.0413648115 5.189556553	
 0.0084091749 2.684591304	
 0.0753272972 4.953537282	
 0.3257305282 5.539080784	
 0.0542533679 4.852587780	
 NA NA	
 NA NA	
 0.4665712382 NA	
 1.1804127271 1.082435877	
 0.0041134530 0.804249188	
 0.0243702032 2.560174503	
 1.9655958509 2.464304913	
 0.6964105059 4.491812616	
 0.9995992581 0.441464765	
 0.0116504625 3.953843128	
 0.2388908733 1.365981026	
 0.0124350880 1.226436638	
 0.0088870691 1.985711793	
 0.2664861584 2.737555091	
 0.0678600692 5.365665768	
 0.1146591263 0.153198506	
 0.4750734680 3.069235752	
 0.0496876684 3.019461215	
 0.0410827356 3.385952815	
 0.0401869693 3.272204488	
 0.0082352252 3.896698183	
 0.0572261579 5.463709004	
 0.6222318794 4.454708156	
 0.0520016199 2.625856329	
 NA NA	
 NA NA	
 NA NA	
 0.3638391062 NA	
 0.2657403036 0.976658471	
 0.0239883349 4.638874210	
 1.0785696789 0.205954937	
 0.0491447205 2.199545246	
 NA NA	
 NA NA	
 0.0546859492 NA	
 0.3879329985 5.321805929	
 0.0410621613 3.040727687	
 0.1712475648 1.673419191	
 0.3446995285 0.432920125	
 0.2966027191 3.456202493	
 0.0658919340 1.568608170	
 0.1993871478 4.902260587	
 0.0859230779 0.481445402	
 0.1394099884 5.409930646	
 0.0295555616 3.689598021	
 0.1523885014 3.719092240	
 0.1414327575 0.855067800	
 0.8901313256 2.059402289	
 0.0837205936 4.545854166	
 0.0327612331 4.587804734	
 0.0058251086 0.507820974	
 1.1725629034 6.069155642	
 0.0954782296 3.790745297	
 0.0538905141 3.193792754	
 0.7061628221 5.665725932	
 0.0956694333 2.472419157	
 0.7471564413 2.823552277	
 0.0018388462 1.138023625	
 0.2472783921 5.659661520	
 0.0106510667 4.199115471	
 0.6491332296 1.751025167	
 1.4342423683 1.367911242	
 1.1307752379 4.660308371	
 NA NA	
 NA NA	
 1.4467568435 NA	
 0.6841051899 4.889723812	
 0.0588598329 5.117530429	
 0.0060794605 2.708901124	
 0.3197533265 4.495839782	
 0.4774543383 6.189709698	
 0.5987591615 5.405933809	
 0.1529171478 5.789318846	
 0.0164429350 2.997004639	
 0.0138334250 5.049588248	
 0.1960828647 1.213073384	
 0.0181586308 2.446796757	
 0.2765622252 4.165978763	
 0.3586589175 6.162197919	
 0.0106745697 3.859246041	
 0.1302295295 4.833735095	
 0.0708389004 2.608175891	
 0.1184060673 0.181559619	
 0.4759146462 1.992425347	
 0.0972213478 1.060477788	
 0.1320139312 4.668366522	
 0.1155723819 4.928260909	
 0.5158652647 3.927996878	
 0.2854467332 1.942505417	
 0.0849458919 2.625853309	
 0.0966629747 0.701103915	
 0.1129122813 0.181641683	
 0.0898306277 3.886871909	
 0.0399771398 5.420995118	
 0.2375150081 4.655155849	
 0.0844016165 0.940242129	
 0.4327081289 5.507445855	
 0.0097023706 2.504921788	
 0.0624517644 2.525417782	
 0.5028513876 3.561472367	
 0.0118142752 2.528092338	
 0.1374757894 5.292245004	
 0.4039859729 0.284182188	
 0.0784124503 5.041730560	
 0.3968746278 0.317747303	
 0.0027851328 5.282644335	
 0.0615437300 0.310708873	
 0.0346283366 2.346889267	
 0.0037429230 3.976370074	
 0.0889892569 4.302968077	
 0.2767415463 5.140556441	
 0.5234290545 1.539348380	
 0.0683149009 5.645718386	
 0.0227082057 3.354245028	
 0.0830255922 5.853788517	
