Individual	Easting	Northing	Habitat	Daily_movement_rate(km/day)	Turning_angle_(radians)	dist_water (meters)	dist_swamp (meters)	dist_otw (meters)	dist_openfor (meters)	dist_ntw (meters)	dist_mixfor (meters)	dist_devel  (meters)	dist_ddf (meters)	dist_conifer (meters)	dist_alvar (meters)
elk-115	769928	4992847	13	6.01		200.00	37311.33	1119.43	6013.01	8890.23	25.00	10552.31	0.00	275.00	65454.02
elk-115	766875	4997444	13	1.42	-0.13	600.52	42503.42	1735.66	1327.12	12072.33	35.36	6973.16	0.00	201.56	70333.45
elk-115	765949	4998516	13	0.24	-2.38	561.81	43775.98	1691.89	673.15	13008.58	50.00	5621.00	0.00	548.29	71502.91
elk-115	765938	4998276.5	13	0.43	-0.94	550.00	43561.11	1491.01	863.50	12782.43	125.00	5826.93	0.00	400.00	71279.82
elk-115	766275	4998005	17	0.10	-1.14	302.08	43200.59	1491.64	1015.20	12542.38	0.00	6215.50	55.90	167.71	70961.42
elk-115	766368	4998051	16	12.43	0.97	213.60	43234.39	1581.34	1105.10	12605.58	0.00	6194.40	55.90	79.06	71007.18
elk-115	777208	4991996	16	0.52	2.69	571.18	35507.40	661.91	509.90	10722.06	0.00	14127.65	125.00	728.01	64371.45
elk-115	776684	4992027	19	0.31	-3.09	491.17	35575.56	134.63	745.82	11012.78	0.00	14067.54	125.00	371.65	64395.85
elk-115	776991	4991991.5	13	0.31	3.07	660.49	35528.52	436.61	575.54	10837.95	25.00	14092.57	0.00	583.63	64374.26
elk-115	776682	4992006	19	0.68	-2.93	515.39	35550.56	145.77	761.99	10990.37	0.00	14043.24	125.00	395.28	64370.96
elk-115	777343	4991828	19	0.75	-2.61	515.39	35335.23	831.04	654.31	10511.48	0.00	13994.04	25.00	840.39	64209.95
elk-115	776773	4992405	17	1.88	-2.36	212.13	35951.47	353.55	447.21	11297.12	0.00	14461.44	160.08	250.00	64780.79
elk-115	776765	4990679.5	17	0.75	-2.43	247.49	34225.45	447.21	1648.10	9829.80	0.00	12752.70	125.00	325.00	63049.32
elk-115	777261	4991248	13	0.54	-0.69	250.00	34757.56	996.24	1241.22	10041.17	103.08	13407.20	0.00	955.25	63625.23
elk-115	777278	4991787	13	0.86	-0.24	527.38	35308.51	771.77	691.47	10519.03	35.36	13949.04	0.00	919.24	64177.47
elk-115	777089	4992698	17	0.69	-2.96	347.31	36230.83	778.62	50.00	11417.37	0.00	14807.71	125.00	55.90	65085.51
elk-115	777103	4992069	16	0.60	-2.23	555.09	35580.49	552.27	469.71	10831.35	0.00	14173.26	79.06	632.95	64436.18
elk-115	777569	4992444.5	17	0.93	2.70	90.14	35941.84	1049.40	150.00	10970.47	0.00	14640.38	106.07	500.62	64832.60
elk-115	777161	4991608	13	0.79	-3.12	477.62	35131.02	760.35	892.33	10412.07	25.00	13746.39	0.00	850.00	63990.84
elk-115	777521	4992315	13	0.50	-2.17	223.61	35815.39	980.11	201.56	10872.47	25.00	14506.29	0.00	550.00	64703.05
elk-115	777023	4992250.5	13	0.32	-0.03	471.70	35779.23	480.88	353.55	11044.51	25.00	14347.06	0.00	425.73	64627.92
elk-115	776703	4992200.5	16	0.66	-1.44	335.41	35750.71	158.11	626.50	11159.08	0.00	14243.53	100.00	230.49	64572.41
elk-115	776716	4991541	16	0.24	0.10	257.39	35100.57	403.11	1095.73	10588.26	0.00	13606.25	90.14	400.78	63922.86
elk-115	776697	4991300	17	0.41	-2.84	150.00	34850.32	530.33	1333.46	10389.72	0.00	13351.59	158.11	375.00	63669.32
elk-115	776852	4991682.5	16	0.43	-1.67	450.69	35226.74	447.21	908.98	10632.56	0.00	13764.38	75.00	559.02	64061.32
elk-115	776404	4991815	11	0.79	1.69	375.83	35375.08	0.00	1105.10	10970.67	25.00	13804.91	285.04	235.85	64169.82
elk-115	776689	4992477	17	0.21	-1.87	90.14	36025.70	357.95	506.21	11407.37	0.00	14511.07	250.00	167.71	64846.25
elk-115	776482	4992499	1	0.54	0.95	0.00	36050.01	325.00	691.47	11516.29	25.00	14490.97	424.26	35.36	64853.18
elk-115	776220	4992966	17	0.24	-2.46	257.39	36550.42	848.90	925.34	12064.33	0.00	14934.27	412.31	500.00	65331.92
elk-115	776179	4992733.5	17	0.82	-1.04	176.78	36325.70	650.00	951.31	11884.71	0.00	14703.85	371.65	279.51	65103.52
elk-115	776803	4992201	13	0.45	-0.15	380.79	35751.48	254.95	540.83	11115.98	25.00	14267.20	0.00	305.16	64581.66
elk-115	777215	4991944	16	0.76	1.92	617.45	35457.41	673.15	559.02	10676.38	0.00	14079.53	75.00	776.21	64321.70
elk-115	776667	4991518.5	16	0.80	2.32	201.56	35075.32	375.00	1145.10	10588.94	0.00	13569.93	127.48	353.55	63893.38
elk-115	776743	4992377	17	1.31	2.72	201.56	35926.05	301.04	503.12	11295.60	0.00	14425.37	167.71	200.00	64751.27
elk-115	777165	4991140.5	16	1.17	-3.08	160.08	34655.20	848.90	1364.28	10006.40	0.00	13276.01	50.00	848.90	63513.23
elk-115	776851	4992271	16	0.19	1.06	360.56	35801.96	316.23	471.70	11140.02	0.00	14327.79	25.00	325.00	64636.12
elk-115	776984	4992404	16	0.29	2.95	391.31	35928.84	503.12	279.51	11191.65	0.00	14485.90	25.00	275.00	64774.81
elk-115	776822	4992164	16	0.50	-2.98	436.61	35701.71	275.00	550.57	11060.09	0.00	14224.71	25.00	355.32	64534.21
elk-115	777162	4992526	13	0.03	-0.03	250.00	36031.80	704.45	79.06	11213.66	35.36	14627.22	0.00	235.85	64891.38
elk-115	777185	4992552	16	0.63	-3.02	225.00	36057.29	738.24	50.00	11226.98	0.00	14657.87	25.00	230.49	64918.72
elk-115	776718	4992135	16	0.68	2.72	403.89	35675.71	150.00	665.68	11091.58	0.00	14170.61	125.00	291.55	64497.72
elk-115	777094	4992966.5	17	0.04	2.85	412.31	36481.25	980.11	201.56	11638.75	0.00	15055.94	313.25	125.00	65336.75
elk-115	777088	4992922.5	17	0.71	-0.67	403.11	36431.25	941.08	152.07	11592.48	0.00	15007.54	325.00	103.08	65286.99
elk-115	777269	4992616	20	0.25	1.54	145.77	36134.42	862.05	0.00	11258.03	50.00	14756.57	106.07	257.39	65003.32
elk-115	777061	4992485	13	0.78	1.04	350.89	36005.00	604.67	182.00	11230.12	75.00	14577.38	0.00	213.60	64856.71
elk-115	776142	4992962.5	17	1.52	-2.97	195.26	36550.86	869.63	985.20	12097.31	0.00	14919.89	340.04	505.59	65325.65
elk-115	776946	4992350	16	0.08	-0.82	375.00	35878.14	436.61	347.31	11166.50	0.00	14425.02	25.00	328.82	64720.25
elk-115	777029	4992364.5	16	0.51	-2.78	403.89	35879.61	529.74	265.75	11125.67	0.00	14450.13	25.00	328.82	64729.87
elk-115	776523	4992459	17	0.78	2.24	25.00	36025.08	304.14	649.04	11471.95	0.00	14477.44	371.65	55.90	64832.72
elk-115	777113	4992976.5	17	0.37	-1.68	443.00	36506.71	1015.20	225.00	11652.49	0.00	15086.42	325.00	160.08	65364.08
elk-115	776837	4993230	14	0.26	0.39	378.32	36777.46	1123.61	348.21	12011.58	55.90	15286.96	25.00	0.00	65611.52
