unique_event_ID,same_whale_ID,ob_order_time,year,TimeTxt,X_whale_UTM,Y_whale_UTM,ship_whale_azimuth,ship_whale_dist,ship_whale_bearing,whale_direction,whale_orientation,whale_behavior
2008-06-15-K-053,2008-06-15-K-053,1,2008,15:34:55,438895.5672,6485266.712,322.9035271,1186.891823,-25.97438621,A-Away,9-Perpendicular,BL-Blowing
2008-06-15-K-054,2008-06-15-K-053,2,2008,15:35:37,438934.5496,6485041.167,321.8752975,1134.013433,-27.67040922,A-Away,9-Perpendicular,BL-Blowing
2008-06-15-K-055,2008-06-15-K-053,3,2008,15:36:18,438939.839,6485009.051,314.7210539,925.7096732,-35.46107577,A-Away,9-Perpendicular,DF-Dive-fluke-up
2008-06-15-K-057,2008-06-15-K-053,5,2008,15:37:41,438777.517,6485016.464,280.4327318,407.1378301,-70.32016842,A-Away,4-45-degrees,BL-Blowing
2008-06-15-K-058,2008-06-15-K-053,6,2008,15:38:15,438680.2857,6485016.381,237.6540691,312.7815548,-112.886407,G-Against,0-Parallel,DF-Dive-fluke-up
2008-06-15-K-076,2008-06-15-K-076,1,2008,16:54:13,455816.4777,6461926.554,278.660332,410.4817743,-22.21105846,G/A-Ag/Aw,4-45-degrees,BL-Blowing
2008-06-15-K-077,2008-06-15-K-076,2,2008,16:54:48,455977.0505,6461847.679,268.1170261,314.1822334,-32.67219763,G/A-Ag/Aw,4-45-degrees,BL-Blowing
2008-06-15-K-078,2008-06-15-K-076,3,2008,16:55:21,456024.3658,6461909.933,208.9850479,247.6777142,-92.00327596,G/A-Ag/Aw,4-45-degrees,BL-Blowing
2008-06-16-N-032,2008-06-16-N-032,1,2008,18:35:16,437755.009,6493076.686,2.413514509,1798.104732,14.56154325,U-Unsure,U-Unsure,BL-Blowing
2008-06-16-N-033,2008-06-16-N-032,2,2008,18:37:02,437789.6759,6492539.124,6.435930715,1615.097977,13.89386855,GA-Ag/Away,45-45-degrees,BL-Blowing
2008-06-16-N-034,2008-06-16-N-032,3,2008,18:38:15,437717.5369,6492844.357,21.18304627,849.9007212,27.48359873,GA-Ag/Away,45-45-degrees,BL-Blowing
2008-06-16-N-035,2008-06-16-N-032,4,2008,18:38:50,437813.2099,6492850.126,22.59036902,612.0495707,27.59168451,GA-Ag/Away,45-45-degrees,DF-Dive-fluke-up
2008-06-23-K-017,2008-06-23-K-017,1,2008,6:52:34,443306.7125,6474695.855,121.5487759,1189.761995,-41.352087,T-Toward,9-Perpendicular,BL-Blowing
2008-06-23-K-018,2008-06-23-K-017,2,2008,6:53:54,443753.7455,6474843.852,138.6881406,685.3390271,-11.65964092,A-Away,9-Perpendicular,BL-Blowing
2008-06-23-K-019,2008-06-23-K-017,3,2008,6:54:14,443877.1031,6474802.753,144.7553518,508.7720115,-4.363502542,A-Away,9-Perpendicular,BL-Blowing
2008-06-23-K-020,2008-06-23-K-017,4,2008,6:56:00,444193.1761,6475033.033,212.9717122,391.4683571,65.87920887,G-Against,0-Parallel,BL-Blowing
2008-06-23-K-063,2008-06-23-K-063,1,2008,16:29:05,441283.6039,6469816.812,17.80769241,985.4170115,-11.93888192,T-Toward,9-Perpendicular,BL-Blowing
2008-06-23-K-064,2008-06-23-K-063,2,2008,16:30:24,441372.1398,6469851.567,356.9828886,529.55914,-35.95329601,T-Toward,9-Perpendicular,BL-Blowing
2008-06-23-K-065,2008-06-23-K-063,3,2008,16:31:00,441310.408,6469834.947,349.3873784,388.8939688,-43.51496294,T-Toward,9-Perpendicular,DF-Dive-fluke-up
2008-06-23-K-066,2008-06-23-K-066,1,2008,18:26:58,408176.7084,6450616.549,37.03992484,2484.848356,-2.348676155,U-Unsure,U - Unsure,BL-Blowing
2008-06-23-K-069,2008-06-23-K-066,4,2008,18:40:47,407424.1838,6448205.146,333.3785374,1197.20973,-72.73483516,W-With,0-Parallel,DF-Dive-fluke-up
