SwB_Wpt_ID,x,y,turn.angle,heading,dist
2008-05-11-N-018,438519.9376,6503183.594,NA,NA,NA
2008-05-25-N-021,422616.9423,6519534.985,NA,NA,NA
2008-05-26-N-034,438629.4917,6489432.669,NA,NA,NA
2008-05-28-N-002,438653.0146,6482800.134,NA,NA,NA
2008-05-28-N-032,391555.0627,6531288.527,NA,NA,NA
2008-05-31-N-037,440608.9022,6488513.784,NA,NA,NA
2008-06-06-N-037,439002.1625,6496728.29,NA,NA,NA
2008-06-07-N-006,439607.2647,6485191.213,NA,NA,NA
2008-06-07-N-034,439155.2087,6483641.278,NA,NA,NA
2008-06-11-K-009,452743.5071,6464211.118,NA,NA,NA
2008-06-15-K-053,438895.5672,6485266.712,NA,NA,NA
2008-06-15-K-076,455816.4777,6461926.554,NA,NA,NA
2008-06-16-N-032,437755.009,6493076.686,NA,NA,NA
2008-06-18-K-057,444254.5764,6467007.553,NA,NA,NA
2008-06-18-K-063,450159.0107,6464727.424,NA,NA,NA
2008-06-23-K-017,443306.7125,6474695.855,NA,NA,NA
2008-06-23-K-063,441283.6039,6469816.812,NA,NA,NA
2008-06-23-K-066,408176.7084,6450616.549,NA,NA,NA
2008-07-02-K-020,448229.9751,6465486.883,NA,NA,NA
2008-07-02-K-032,441946.1257,6474473.765,NA,NA,NA
2008-07-02-K-074,433484.1445,6484059.402,NA,NA,NA
2008-07-02-K-090,434775.2478,6473748.038,NA,NA,NA
2008-07-02-K-101,449465.6676,6462527.324,NA,NA,NA
2008-07-02-K-113,484527.7287,6449202.23,NA,NA,NA
2008-07-02-K-123,503866.5917,6424428.431,NA,NA,NA
2008-07-02-K-130,514059.3228,6330150.258,NA,NA,NA
2008-07-02-N-030,438763.0912,6487930.101,NA,NA,NA
2008-07-04-N-031,437761.7227,6486357.707,NA,NA,NA
2008-07-07-K-009,452516.861,6462377.802,NA,NA,NA
2008-07-07-K-018,446178.2331,6464761.122,NA,NA,NA
2008-07-07-K-027,441358.8782,6472368.741,NA,NA,NA
